id,ogrenci_adi,ort,tercihler
1,Ahmet Yılmaz,3.2,"1,2,4,7,9"
2,Ayşe Demir,3.6,"3,1,7,2,8"
3,Mehmet Kaya,2.9,"2,1,7,5,3"
4,Fatma Şahin,3.4,"4,9,1,2,3"
5,Ali Çelik,3.1,"5,1,2,7,6"
6,Zeynep Arslan,3.5,"6,10,2,1,5"
7,Can Özdemir,3.7,"7,2,1,5,4"
8,Elif Yıldız,3.0,"8,3,1,4,2"
9,Burak Aydın,3.3,"9,1,5,7,2"
10,Selin Koç,3.2,"10,6,5,1,2"
11,Emre Polat,2.8,"1,3,2,8,4"
12,Deniz Acar,3.4,"3,1,8,2,7"
13,Gizem Turan,3.6,"2,7,1,5,6"
14,Onur Korkmaz,2.7,"4,1,9,3,2"
15,Merve Doğan,3.3,"5,6,1,7,10"
16,Serkan Yücel,1.9,"6,2,1,4,3"
